surface	lemma	feats	source
abyding	abyde	ING	promoted
abysms	abysm	PL	lexicon
abysses	abyss	PL	lexicon
abyssinians	abyssinian	PL	promoted
acas	aca	PL	promoted
acacias	acacia	PL	lexicon
academes	academe	PL	lexicon
academias	academia	PL	lexicon
academics	academic	PL	lexicon
academicians	academician	PL	lexicon
academicisms	academicism	PL	lexicon
academisms	academism	PL	lexicon
academies	academy	PL	lexicon
acanthocephalans	acanthocephalan	PL	lexicon
acanthopterygians	acanthopterygian	PL	lexicon
acanthuses	acanthus	PL	lexicon
acapellas	acapella	PL	promoted
acapnias	acapnia	PL	lexicon
acariases	acariasis	PL	lexicon
acaricides	acaricide	PL	lexicon
acarids	acarid	PL	lexicon
acarines	acarine	PL	lexicon
acarophobias	acarophobia	PL	lexicon
acari	acarus	PL	lexicon
accas	acca	PL	promoted
acces	acce	PL	promoted
acceder	accede	ER	promoted
acceding	accede	ING	lexicon
acceded	accede	PAST	lexicon
acceded	accede	PPART	lexicon
accedes	accede	TSG	lexicon
accelerandos	accelerando	PL	lexicon
accelerating	accelerate	ING	lexicon
accelerated	accelerate	PAST	lexicon
accelerated	accelerate	PPART	lexicon
accelerates	accelerate	TSG	lexicon
accelerations	acceleration	PL	lexicon
accelerators	accelerator	PL	lexicon
accelerometers	accelerometer	PL	lexicon
accenting	accent	ING	lexicon
accented	accent	PAST	lexicon
accents	accent	PL	lexicon
accented	accent	PPART	lexicon
accents	accent	TSG	lexicon
accentors	accentor	PL	lexicon
accentuating	accentuate	ING	lexicon
accentuated	accentuate	PAST	lexicon
accentuated	accentuate	PPART	lexicon
accentuates	accentuate	TSG	lexicon
accentuations	accentuation	PL	lexicon
acceptance	accept	ACTION	derivation
accepter	accept	ER	promoted
acceptest	accept	EST	promoted
accepting	accept	ING	agid
accepted	accept	PAST	agid
accepted	accept	PPART	agid
accepts	accept	TSG	agid
acceptabilities	acceptability	PL	lexicon
acceptablenesses	acceptableness	PL	lexicon
acceptations	acceptation	PL	lexicon
acceptors	acceptor	PL	lexicon
accesories	accesory	PL	promoted
accessing	access	ING	lexicon
accessed	access	PAST	lexicon
accesses	access	PL	lexicon
accessed	access	PPART	lexicon
accesses	access	TSG	lexicon
accessaries	accessary	PL	lexicon
accessibilities	accessibility	PL	lexicon
accessioning	accession	ING	lexicon
accessioned	accession	PAST	lexicon
accessions	accession	PL	lexicon
accessioned	accession	PPART	lexicon
accessions	accession	TSG	lexicon
accessories	accessory	PL	lexicon
acciaccaturas	acciaccatura	PL	lexicon
accidences	accidence	PL	lexicon
accidently	accident	LY	promoted
accidented	accident	PAST	promoted
accidents	accident	PL	agid
accidentally	accidental	LY	promoted
accidentals	accidental	PL	lexicon
accidentes	accidente	PL	promoted
acclaiming	acclaim	ING	lexicon
acclaimed	acclaim	PAST	lexicon
acclaims	acclaim	PL	lexicon
acclaimed	acclaim	PPART	lexicon
acclaims	acclaim	TSG	lexicon
acclamations	acclamation	PL	lexicon
acclimating	acclimate	ING	lexicon
acclimated	acclimate	PAST	lexicon
acclimated	acclimate	PPART	lexicon
acclimates	acclimate	TSG	lexicon
acclimations	acclimation	PL	lexicon
acclimatisations	acclimatisation	PL	lexicon
acclimatising	acclimatise	ING	promoted
acclimatizations	acclimatization	PL	lexicon
acclimatizing	acclimatize	ING	lexicon
acclimatized	acclimatize	PAST	lexicon
acclimatized	acclimatize	PPART	lexicon
acclimatizes	acclimatize	TSG	lexicon
acclivities	acclivity	PL	lexicon
